"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
353963217291;;;;IPhone;"iPhone 14";"Обзор от ИИ<br /><br /><br />Apple#nbsp;<a href=""https://ru.wikipedia.org/wiki/IPhone_14"" target=""_blank"" rel=""noreferrer noopener"">iPhone 14</a>#nbsp;— это#nbsp;смартфон с экраном 6.1 дюйма (Super Retina XDR OLED), процессором A15 Bionic (с 5 ядрами графики), 6 ГБ оперативной памяти и двойной основной камерой 12 Мп. Модель вышла в сентябре 2022 года, получила улучшенную автономность и функцию обнаружения аварий.";;https://static.tildacdn.com/stor6136-3338-4132-a435-613933666663/44548768.jpg;;;;;;gZJXSUslTRuOfsaaFGUb;;0;0;0;0;"Купить iPhone 14 в Оренбурге по низкой цене";"Магазин Apple техники Айточка в Оренбурге предлагает приобрести Apple технику по самой низкой цене. Вся техника сертифицирована. Возможность приобрести айфон в кредит и рассрочку.";"купить айфон, купить iPhone, купить айфон в оренбурге, айфон оренбург, айфон в кредит, айфон купить недорого, iphone оренбург купить в рассрочку";;
800597470351;;;;;"iPhone 14 - 128 - Чёрный";;;https://static.tildacdn.com/stor6136-3338-4132-a435-613933666663/44548768.jpg;47990.00;;;"Память:128;Цвет:Чёрный";;ZOioXZnFiJXtZVY1axGx;353963217291;0;0;0;0;;;;;
595879547551;;;;;"iPhone 14 - 256 - Чёрный";;;https://static.tildacdn.com/stor6136-3338-4132-a435-613933666663/44548768.jpg;57990.00;;;"Память:256;Цвет:Чёрный";;p3y9Fd3kYg2XgGoEeRO6;353963217291;0;0;0;0;;;;;
797715716801;;;;;"iPhone 14 - 512 - Чёрный";;;https://static.tildacdn.com/stor6136-3338-4132-a435-613933666663/44548768.jpg;61990.00;;;"Память:512;Цвет:Чёрный";;OsT60RElldcVLbKVhs4E;353963217291;0;0;0;0;;;;;
411151347481;;;;;"iPhone 14 - 128 - Красный";;;https://static.tildacdn.com/stor3435-3134-4439-a339-663563363233/74684431.jpg;47990.00;;;"Память:128;Цвет:Красный";;F5RlcDRZxVkzC7f30FYL;353963217291;0;0;0;0;;;;;
966095074761;;;;;"iPhone 14 - 256 - Красный";;;https://static.tildacdn.com/stor3435-3134-4439-a339-663563363233/74684431.jpg;57990.00;;;"Память:256;Цвет:Красный";;kitEaX0kVMU4d6noGCO6;353963217291;0;0;0;0;;;;;
175462231811;;;;;"iPhone 14 - 512 - Красный";;;https://static.tildacdn.com/stor3435-3134-4439-a339-663563363233/74684431.jpg;61990.00;;;"Память:512;Цвет:Красный";;2GlkeKpeJYRDADJxj1ig;353963217291;0;0;0;0;;;;;
843932318521;;;;;"iPhone 14 - 128 - Фиолетовый";;;https://static.tildacdn.com/stor3239-3130-4030-b539-363532303339/61127451.jpg;47990.00;;;"Память:128;Цвет:Фиолетовый";;sRBnNpE1VbCAVLi7gXfc;353963217291;0;0;0;0;;;;;
599612951121;;;;;"iPhone 14 - 256 - Фиолетовый";;;https://static.tildacdn.com/stor3239-3130-4030-b539-363532303339/61127451.jpg;57990.00;;;"Память:256;Цвет:Фиолетовый";;bokBrzRIRpHGU0hSL9Bu;353963217291;0;0;0;0;;;;;
168573782161;;;;;"iPhone 14 - 512 - Фиолетовый";;;https://static.tildacdn.com/stor3239-3130-4030-b539-363532303339/61127451.jpg;61990.00;;;"Память:512;Цвет:Фиолетовый";;Hr1VVFrZKBf7G2106egM;353963217291;0;0;0;0;;;;;
